0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0602	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3082	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
